Date	S&P
7/20/06	1249.13
7/21/06	1240.29
7/24/06	1260.91
7/25/06	1268.88
7/26/06	1268.4
7/27/06	1263.2
7/28/06	1278.55
7/31/06	1276.66
8/1/06	1270.92
8/2/06	1277.41
8/3/06	1280.27
8/4/06	1279.36
8/7/06	1275.77
8/8/06	1271.48
8/9/06	1265.95
8/10/06	1271.81
8/11/06	1266.74
8/14/06	1268.21
8/15/06	1285.58
8/16/06	1295.43
8/17/06	1297.48
8/18/06	1302.3
8/21/06	1297.52
8/22/06	1298.82
8/23/06	1292.99
8/24/06	1296.06
8/25/06	1295.09
8/28/06	1301.78
8/29/06	1304.28
8/30/06	1305.37
8/31/06	1303.82
9/1/06	1311.01
9/5/06	1313.25
9/6/06	1300.26
9/7/06	1294.02
9/8/06	1298.92
9/11/06	1299.54
9/12/06	1313
9/13/06	1318.07
9/14/06	1316.28
9/15/06	1319.66
9/18/06	1321.18
9/19/06	1317.64
9/20/06	1325.18
9/21/06	1318.03
9/22/06	1314.78
9/25/06	1326.37
9/26/06	1336.35
9/27/06	1336.59
9/28/06	1338.88
9/29/06	1335.85
10/2/06	1331.32
10/3/06	1334.11
10/4/06	1350.2
10/5/06	1353.22
10/6/06	1349.59
10/9/06	1350.66
10/10/06 1353.42
10/11/06 1349.95
10/12/06 1362.83
10/13/06 1365.62
10/16/06 1369.06
10/17/06 1364.05
10/18/06 1365.8
10/19/06 1366.96
10/20/06 1368.6
10/23/06 1377.02
10/24/06 1377.38
10/25/06 1382.22
10/26/06 1389.08
10/27/06 1377.34
10/30/06 1377.93
10/31/06 1377.94
11/1/06	1367.81
11/2/06	1367.34
11/3/06	1364.3
11/6/06	1379.78
11/7/06	1382.84
11/8/06	1385.72
11/9/06	1378.33
11/10/06 1380.9
11/13/06 1384.42
11/14/06 1393.22
11/15/06 1396.57
11/16/06 1399.76
11/17/06 1401.2
11/20/06 1400.5
11/21/06 1402.81
11/22/06 1406.09
11/24/06 1400.95
11/27/06 1381.96
11/28/06 1386.72
11/29/06 1399.48
11/30/06 1400.63
12/1/06	1396.71
12/4/06	1409.12
12/5/06	1414.76
12/6/06	1412.9
12/7/06	1407.29
12/8/06	1409.84
12/11/06 1413.04
12/12/06 1411.56
12/13/06 1413.21
12/14/06 1425.49
12/15/06 1427.09
12/18/06 1422.48
12/19/06 1425.55
12/20/06 1423.53
12/21/06 1418.3
12/22/06 1410.76
12/26/06 1416.9
12/27/06 1426.84
12/28/06 1424.73
12/29/06 1418.3
1/3/07	1416.6
1/4/07	1418.34
1/5/07	1409.71
1/8/07	1412.84
1/9/07	1412.11
1/10/07	1414.85
1/11/07	1423.82
1/12/07	1430.73
1/16/07	1431.9
1/17/07	1430.62
1/18/07	1426.37
1/19/07	1430.5
